"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04606350154062e-22,1.35345400298245,0.112,0.011,2.2416094774514e-18,"9","C16orf58"
1.0461124962002e-22,1.7263752784865,0.121,0.013,2.24171446810741e-18,"9","AL365361.1"
1.07818567991495e-22,1.0723193645882,0.871,0.381,2.31044409348974e-18,"9","LSP1"
1.10610190892422e-22,0.839537953121736,0.319,0.068,2.37026578063372e-18,"9","ITPA"
1.16794069835775e-22,0.73944149856652,0.388,0.092,2.50278012251081e-18,"9","SMIM7"
1.18694523669759e-22,0.65822227353674,0.267,0.051,2.54350494771926e-18,"9","AK2"
1.1989252639741e-22,0.73197247762289,0.681,0.209,2.56917694817011e-18,"9","RTRAF"
1.2143822124619e-22,1.17190734768171,0.164,0.022,2.6022996430846e-18,"9","NPRL2"
1.21751659204691e-22,1.36967045368041,0.121,0.013,2.60901630509733e-18,"9","ACTR8"
1.22688951769849e-22,1.84665666393314,0.414,0.108,2.62910154747609e-18,"9","HIST1H1E"
1.33478054412655e-22,0.552423393225441,0.328,0.07,2.86030122800878e-18,"9","UBA2"
1.43818654849232e-22,1.38886819951953,0.241,0.044,3.0818899547642e-18,"9","TCF3"
1.48366940760247e-22,0.998733304379257,0.31,0.065,3.17935517355133e-18,"9","PRPF31"
1.56143706139408e-22,1.79870981960725,0.121,0.013,3.34600347886138e-18,"9","TP53RK"
1.57139917261472e-22,0.766229118800886,0.267,0.051,3.36735128699609e-18,"9","ACTR10"
1.58614197295487e-22,1.19454858045102,0.172,0.025,3.39894363384499e-18,"9","C6orf89"
1.58924778035185e-22,0.747271106928609,0.207,0.034,3.40559906851599e-18,"9","APOL3"
1.58927553321483e-22,0.611487330639098,0.552,0.154,3.40565854012606e-18,"9","TMEM160"
1.6132954594243e-22,2.43667910124208,0.069,0.005,3.45713084000032e-18,"9","GALE"
1.67950077456152e-22,1.21125674088286,0.164,0.023,3.59900220980788e-18,"9","RABGGTA"
1.70780536405767e-22,0.881706482872493,0.267,0.051,3.65965611463917e-18,"9","UNC93B1"
1.78762517423171e-22,2.35600096349561,0.086,0.007,3.83070198586113e-18,"9","PYGB"
1.80795613283214e-22,4.73421113255431,0.026,0.001,3.87426919704598e-18,"9","CELA1"
1.85835209375991e-22,3.9081307856204,0.026,0.001,3.98226270171811e-18,"9","TP73"
1.85835209375991e-22,4.08989565863573,0.026,0.001,3.98226270171811e-18,"9","NRAV"
1.88948553312403e-22,1.49560902588744,0.112,0.011,4.04897854893149e-18,"9","GLE1"
1.91267956610506e-22,0.992883853241461,0.233,0.041,4.09868104220653e-18,"9","STK16"
1.96617751134631e-22,0.521855913721332,0.31,0.065,4.213321789064e-18,"9","IFT20"
1.99723571795014e-22,1.55720986294722,0.121,0.013,4.27987641999536e-18,"9","SHC1"
2.04553963016388e-22,0.594127139227857,0.371,0.086,4.38338687347819e-18,"9","EMC3"
2.0845545605408e-22,1.34798581684593,0.138,0.017,4.46699196778287e-18,"9","MTFP1"
2.09149481810594e-22,0.418554969303073,0.397,0.094,4.48186424571923e-18,"9","OTUB1"
2.10286286598147e-22,0.996266838432025,0.31,0.066,4.50622483551169e-18,"9","PBXIP1"
2.20685316616781e-22,0.570430481399931,0.276,0.054,4.729065649781e-18,"9","MAP2K1"
2.34957385115783e-22,0.895898111491331,0.336,0.075,5.0349018056461e-18,"9","BASP1"
2.42166644163305e-22,1.57531453434484,0.112,0.011,5.18938901777547e-18,"9","CLCC1"
2.45710808661098e-22,1.07675420168233,0.767,0.284,5.26533691879867e-18,"9","COX8A"
2.48727652381226e-22,2.60920499913024,0.06,0.004,5.32998486287729e-18,"9","SPAG4"
2.52919381336536e-22,2.10550028874746,0.095,0.008,5.41980942266063e-18,"9","PARP2"
2.57780304035046e-22,3.36588943230427,0.069,0.005,5.523974135167e-18,"9","IDUA"
2.66523274565826e-22,0.41190790207511,0.31,0.065,5.71132725067109e-18,"9","MRPS35"
2.67160638668295e-22,3.20956499879947,0.043,0.002,5.7249853260229e-18,"9","SLC27A4"
2.76313414651687e-22,1.08554575267203,0.121,0.013,5.92112016257099e-18,"9","NUDT15"
2.81976196075518e-22,0.441809831176877,0.362,0.083,6.04246790570227e-18,"9","TMEM14C"
2.86302052448309e-22,0.396846359132361,0.431,0.107,6.13516668191481e-18,"9","ZCRB1"
2.92184742293512e-22,0.69389592031272,0.328,0.072,6.26122684260767e-18,"9","RNF114"
3.10778185129096e-22,0.568519024682447,0.345,0.077,6.6596657291314e-18,"9","TIAL1"
3.12682970666229e-22,2.24480586090573,0.069,0.005,6.70048337840662e-18,"9","AC004241.1"
3.16535698345125e-22,2.44008687784328,0.069,0.005,6.78304347983768e-18,"9","HEXIM2"
3.57279044488839e-22,0.687915656301816,0.414,0.103,7.65613264435134e-18,"9","NAA10"
3.58834916190344e-22,0.93037618568239,0.845,0.312,7.68947341904288e-18,"9","TRMT112"
3.66983221334981e-22,1.79269925388065,0.138,0.017,7.8640834499873e-18,"9","GPR155"
3.97377202784157e-22,2.87486730247638,0.034,0.001,8.51539607846171e-18,"9","XRCC2"
3.97775765560264e-22,1.91444796830963,0.095,0.009,8.52393688019089e-18,"9","DTX2"
4.48815919641605e-22,0.889582260923887,0.397,0.098,9.61767634199995e-18,"9","CLECL1"
4.48891194971129e-22,0.774923615405907,0.578,0.17,9.61928941703632e-18,"9","COX17"
4.49422970481729e-22,4.94916178905896,0.017,0,9.63068483445296e-18,"9","CA6"
4.49422970481729e-22,5.22897728743295,0.017,0,9.63068483445296e-18,"9","LDLRAD2"
4.49422970481729e-22,4.68437327828328,0.017,0,9.63068483445296e-18,"9","GALNT14"
4.49422970481729e-22,4.90572209725775,0.017,0,9.63068483445296e-18,"9","AC093159.1"
4.49422970481729e-22,3.69207670320735,0.017,0,9.63068483445296e-18,"9","ENSG00000257207"
4.49422970481729e-22,4.65155998852885,0.017,0,9.63068483445296e-18,"9","C9orf116"
4.49422970481729e-22,4.28564980458738,0.017,0,9.63068483445296e-18,"9","NPW"
4.49422970481729e-22,4.01274159887183,0.017,0,9.63068483445296e-18,"9","CPNE7"
4.49422970481729e-22,5.08173429102869,0.017,0,9.63068483445296e-18,"9","SIX5"
4.49422970481729e-22,5.66743949600082,0.017,0,9.63068483445296e-18,"9","CHODL"
4.54839733540719e-22,1.05555103751984,0.224,0.039,9.74676065004406e-18,"9","OSBPL9"
4.69033831456423e-22,2.10783248454025,0.103,0.01,1.00509259742797e-17,"9","SAMD3"
4.82070865468179e-22,0.719130925850758,0.224,0.039,1.03302965761176e-17,"9","SFXN1"
5.70437703321392e-22,1.46012465186228,0.103,0.01,1.22239095444741e-17,"9","SEC24C"
5.85918904469269e-22,0.939043305191591,0.241,0.044,1.2555656203872e-17,"9","ATF6"
6.07161419333559e-22,1.48252193009227,0.138,0.017,1.30108620548988e-17,"9","SPATC1L"
6.12458711429947e-22,0.835794969838909,0.216,0.037,1.31243777272323e-17,"9","ERG28"
6.27986971937195e-22,0.907636922079923,0.216,0.037,1.34571328216421e-17,"9","ILK"
6.49919737146515e-22,1.17588035657633,0.216,0.037,1.39271300473127e-17,"9","PMPCA"
6.56416401056055e-22,0.838589229032886,0.216,0.037,1.40663470582302e-17,"9","MAP2K2"
6.59218681535004e-22,0.590229340288491,0.345,0.078,1.41263971266136e-17,"9","RAD23B"
7.05560011811221e-22,0.982663358604102,0.147,0.019,1.51194454931027e-17,"9","EXOSC3"
7.14080830888156e-22,1.75749905626965,0.086,0.007,1.53020381251023e-17,"9","MIR22HG"
7.15563681092911e-22,1.19642073064167,0.181,0.027,1.533381412214e-17,"9","GALNT1"
7.17195519673491e-22,1.01400625928587,0.94,0.501,1.53687827910832e-17,"9","COX6C"
7.23798843361049e-22,1.71553214119269,0.086,0.007,1.55102854143839e-17,"9","DEXI"
7.25979827002349e-22,0.57088589060796,0.371,0.087,1.55570217128333e-17,"9","YTHDF2"
7.42440002924187e-22,1.02490777504273,0.353,0.083,1.59097468226624e-17,"9","ATP6V0D1"
7.62136609574391e-22,1.43607512803408,0.103,0.01,1.63318254065696e-17,"9","AL441992.1"
7.70145277573033e-22,1.1948862069716,0.172,0.025,1.65034431531125e-17,"9","SLC4A1AP"
7.95512691201199e-22,1.19760837558875,0.207,0.035,1.70470414597505e-17,"9","E2F5"
8.11633232280484e-22,0.707232147095995,0.543,0.153,1.73924885345385e-17,"9","PSMD4"
8.7283827569129e-22,0.774216360513856,0.267,0.053,1.87040514097887e-17,"9","TUSC2"
9.46004026242262e-22,0.629268875424022,0.284,0.058,2.02719202783454e-17,"9","YAF2"
9.85555227725488e-22,0.265246374029829,0.44,0.111,2.11194629749295e-17,"9","SNRNP27"
1.03318785332024e-21,0.694064823335099,0.302,0.064,2.21401825087995e-17,"9","PRELID3B"
1.03359370466568e-21,0.80645235298522,0.371,0.088,2.21488794972808e-17,"9","CCT6A"
1.03951382658552e-21,1.73107195983278,0.103,0.01,2.2275741789901e-17,"9","ALYREF"
1.10336882052175e-21,0.651374685347391,0.267,0.053,2.36440904549607e-17,"9","ZCCHC17"
1.11013433089072e-21,0.701358500469496,0.509,0.141,2.37890685766573e-17,"9","TKT"
1.20256478326976e-21,1.65324607581726,0.095,0.009,2.57697607406877e-17,"9","CAPN10"
1.21386883559446e-21,1.34136169279143,0.129,0.015,2.60119952779537e-17,"9","PCBD2"
1.21751304224482e-21,0.836784133046975,0.569,0.168,2.60900869822643e-17,"9","CSTB"
1.27566447418958e-21,0.96151260145814,0.19,0.03,2.73362140174086e-17,"9","IPO5"
